scorer,dataset,model,comparison,metric,n_pairs,mean_A,sd_A,mean_B,sd_B,mean_diff,p_value,p_value_bh,significant_bh_0.05,A12,A12_effect
LADEX,PAGED,Gemini,Model-Internal vs No Refinement,F1,400,0.7977,,0.4165,0.0000,0.3811,6.55177e-33,1.31035e-32,True,0.7154,large
LADEX,PAGED,Gemini,Element Alignment vs No Refinement,Precision,400,0.8642,,0.4238,0.0000,0.4404,7.97054e-39,3.58674e-38,True,0.7469,large
LADEX,PAGED,Gemini,Element Alignment vs No Refinement,Recall,400,0.9143,,0.4537,0.0000,0.4605,6.02891e-39,3.58674e-38,True,0.7441,large
LADEX,PAGED,Gemini,Element Alignment vs No Refinement,F1,400,0.8546,,0.4165,0.0000,0.4381,1.12141e-38,4.03708e-38,True,0.7448,large
LADEX,PAGED,Gemini,Direct LLM vs No Refinement,Precision,400,0.8843,,0.4238,0.0000,0.4605,1.52063e-42,2.73713e-41,True,0.7563,large
LADEX,PAGED,Gemini,Direct LLM vs No Refinement,Recall,400,0.8750,,0.4537,0.0000,0.4212,5.78248e-37,1.73474e-36,True,0.7164,large
LADEX,PAGED,Gemini,Direct LLM vs No Refinement,F1,400,0.8545,,0.4165,0.0000,0.4380,1.93717e-40,1.74345e-39,True,0.7416,large
LADEX,PAGED,Gemini,IntentTrace vs Model-Internal,Precision,400,0.8767,,0.8056,,0.0711,5.38823e-07,9.69882e-07,True,0.5705,small
LADEX,PAGED,Gemini,IntentTrace vs Model-Internal,Recall,400,0.8792,,0.8814,,-0.0021,0.846263,0.846263,False,0.5055,negligible
LADEX,PAGED,Gemini,IntentTrace vs Model-Internal,F1,400,0.8529,,0.7977,,0.0552,2.181e-05,3.5689e-05,True,0.5698,small
LADEX,PAGED,Gemini,IntentTrace vs Element Alignment,Precision,400,0.8767,,0.8642,,0.0125,0.0304893,0.042216,True,0.5314,negligible
LADEX,PAGED,Gemini,IntentTrace vs Element Alignment,Recall,400,0.8792,,0.9143,,-0.0350,0.00791969,0.0118795,True,0.4856,negligible
LADEX,PAGED,Gemini,IntentTrace vs Element Alignment,F1,400,0.8529,,0.8546,,-0.0017,0.307287,0.395084,False,0.5269,negligible
LADEX,PAGED,Gemini,IntentTrace vs Direct LLM,Precision,400,0.8767,,0.8843,,-0.0076,0.574168,0.607942,False,0.4982,negligible
LADEX,PAGED,Gemini,IntentTrace vs Direct LLM,Recall,400,0.8792,,0.8750,,0.0043,0.329325,0.39519,False,0.5276,negligible
LADEX,PAGED,Gemini,IntentTrace vs Direct LLM,F1,400,0.8529,,0.8545,,-0.0016,0.565803,0.607942,False,0.5190,negligible
LADEX,PAGED,Qwen,Model-Internal vs No Refinement,Precision,2000,0.7359,0.0063,0.4238,0.0000,0.3121,3.68601e-131,3.3174e-130,True,0.6774,medium
LADEX,PAGED,Qwen,Model-Internal vs No Refinement,Recall,2000,0.8049,0.0053,0.4537,0.0000,0.3512,2.74367e-142,4.93861e-141,True,0.6882,medium
LADEX,PAGED,Qwen,Model-Internal vs No Refinement,F1,2000,0.7313,0.0057,0.4165,0.0000,0.3147,5.89694e-128,2.65362e-127,True,0.6781,medium
LADEX,PAGED,Qwen,Element Alignment vs No Refinement,Precision,2000,0.7426,0.0067,0.4238,0.0000,0.3189,2.11816e-129,1.2709e-128,True,0.6782,medium
LADEX,PAGED,Qwen,Element Alignment vs No Refinement,Recall,2000,0.7809,0.0086,0.4537,0.0000,0.3271,2.12981e-116,5.47666e-116,True,0.6744,medium
LADEX,PAGED,Qwen,Element Alignment vs No Refinement,F1,2000,0.7330,0.0075,0.4165,0.0000,0.3164,2.542e-124,9.15121e-124,True,0.6782,medium
LADEX,PAGED,Qwen,Direct LLM vs No Refinement,Precision,2000,0.7325,0.0128,0.4238,0.0000,0.3087,5.06375e-117,1.51913e-116,True,0.6710,medium
LADEX,PAGED,Qwen,Direct LLM vs No Refinement,Recall,2000,0.7189,0.0120,0.4537,0.0000,0.2651,2.79477e-88,5.58955e-88,True,0.6395,small
LADEX,PAGED,Qwen,Direct LLM vs No Refinement,F1,2000,0.7059,0.0135,0.4165,0.0000,0.2894,2.4102e-110,5.42295e-110,True,0.6632,medium
LADEX,PAGED,Qwen,IntentTrace vs Model-Internal,Precision,2000,0.7968,0.0144,0.7359,0.0063,0.0609,1.08242e-11,1.77124e-11,True,0.5526,negligible
LADEX,PAGED,Qwen,IntentTrace vs Model-Internal,Recall,2000,0.7961,0.0075,0.8049,0.0053,-0.0088,0.420883,0.420883,False,0.4915,negligible
LADEX,PAGED,Qwen,IntentTrace vs Model-Internal,F1,2000,0.7737,0.0102,0.7313,0.0057,0.0425,2.58196e-07,3.09835e-07,True,0.5416,negligible
LADEX,PAGED,Qwen,IntentTrace vs Element Alignment,Precision,2000,0.7968,0.0144,0.7426,0.0067,0.0541,2.20929e-10,3.31394e-10,True,0.5375,negligible
LADEX,PAGED,Qwen,IntentTrace vs Element Alignment,Recall,2000,0.7961,0.0075,0.7809,0.0086,0.0153,0.0570233,0.0603776,False,0.5047,negligible
LADEX,PAGED,Qwen,IntentTrace vs Element Alignment,F1,2000,0.7737,0.0102,0.7330,0.0075,0.0408,9.35399e-07,1.05232e-06,True,0.5275,negligible
LADEX,PAGED,Qwen,IntentTrace vs Direct LLM,Precision,2000,0.7968,0.0144,0.7325,0.0128,0.0643,1.98003e-09,2.54575e-09,True,0.5232,negligible
LADEX,PAGED,Qwen,IntentTrace vs Direct LLM,Recall,2000,0.7961,0.0075,0.7189,0.0120,0.0773,3.11623e-14,5.60921e-14,True,0.5448,negligible
LADEX,PAGED,Qwen,IntentTrace vs Direct LLM,F1,2000,0.7737,0.0102,0.7059,0.0135,0.0678,3.98638e-10,5.5196e-10,True,0.5279,negligible
