scorer,dataset,model,comparison,metric,n_pairs,mean_A,sd_A,mean_B,sd_B,mean_diff,p_value,p_value_bh,significant_bh_0.05,A12,A12_effect
AbsCon,PAGED,Gemini,Model-Internal vs No Refinement,Recall,400,0.6534,,0.3558,0.0000,0.2976,1.33279e-32,3.42717e-32,True,0.6964,medium
AbsCon,PAGED,Gemini,Model-Internal vs No Refinement,F1,400,0.6512,,0.3498,0.0000,0.3015,1.33279e-32,3.42717e-32,True,0.7000,medium
AbsCon,PAGED,Gemini,Element Alignment vs No Refinement,Precision,400,0.6987,,0.3534,0.0000,0.3453,1.45741e-42,1.31167e-41,True,0.7358,large
AbsCon,PAGED,Gemini,Element Alignment vs No Refinement,Recall,400,0.6715,,0.3558,0.0000,0.3157,2.89792e-39,1.30406e-38,True,0.7078,medium
AbsCon,PAGED,Gemini,Element Alignment vs No Refinement,F1,400,0.6751,,0.3498,0.0000,0.3254,6.26215e-41,3.75729e-40,True,0.7176,large
AbsCon,PAGED,Gemini,Direct LLM vs No Refinement,Precision,400,0.7593,,0.3534,0.0000,0.4059,4.73512e-61,8.52321e-60,True,0.7936,large
AbsCon,PAGED,Gemini,Direct LLM vs No Refinement,Recall,400,0.5996,,0.3558,0.0000,0.2438,6.04531e-21,1.08816e-20,True,0.6501,medium
AbsCon,PAGED,Gemini,Direct LLM vs No Refinement,F1,400,0.6590,,0.3498,0.0000,0.3093,4.12419e-31,9.27943e-31,True,0.7063,medium
AbsCon,PAGED,Gemini,IntentTrace vs Model-Internal,Precision,400,0.6848,,0.6685,,0.0163,1.58317e-05,2.37476e-05,True,0.5304,negligible
AbsCon,PAGED,Gemini,IntentTrace vs Model-Internal,Recall,400,0.6450,,0.6534,,-0.0084,0.00950998,0.0122271,True,0.4870,negligible
AbsCon,PAGED,Gemini,IntentTrace vs Model-Internal,F1,400,0.6535,,0.6512,,0.0023,0.482108,0.482108,False,0.5077,negligible
AbsCon,PAGED,Gemini,IntentTrace vs Element Alignment,Precision,400,0.6848,,0.6987,,-0.0139,0.367553,0.389174,False,0.4984,negligible
AbsCon,PAGED,Gemini,IntentTrace vs Element Alignment,Recall,400,0.6450,,0.6715,,-0.0265,0.000193692,0.000268189,True,0.4770,negligible
AbsCon,PAGED,Gemini,IntentTrace vs Element Alignment,F1,400,0.6535,,0.6751,,-0.0217,0.0466202,0.0559443,False,0.4840,negligible
AbsCon,PAGED,Gemini,IntentTrace vs Direct LLM,Precision,400,0.6848,,0.7593,,-0.0745,4.6919e-30,9.3838e-30,True,0.3825,small
AbsCon,PAGED,Gemini,IntentTrace vs Direct LLM,Recall,400,0.6450,,0.5996,,0.0454,1.2907e-18,2.11205e-18,True,0.5975,small
AbsCon,PAGED,Gemini,IntentTrace vs Direct LLM,F1,400,0.6535,,0.6590,,-0.0056,0.26703,0.300408,False,0.5050,negligible
AbsCon,PAGED,Qwen,Model-Internal vs No Refinement,Precision,2000,0.6092,0.0041,0.3534,0.0000,0.2558,3.19233e-126,1.14924e-125,True,0.6722,medium
