scorer,dataset,model,comparison,metric,n_pairs,mean_A,sd_A,mean_B,sd_B,mean_diff,p_value,p_value_bh,significant_bh_0.05,A12,A12_effect
LADEX,PAGED,Gemini,4th Round vs 3rd Round,F1,400,0.8837,,0.8927,,-0.0090,0.0644853,0.128971,False,0.4893,negligible
LADEX,PAGED,Qwen,1st Round vs No Refinement,Precision,2000,0.7968,0.0144,0.4238,0.0000,0.3730,1.19165e-145,1.42998e-144,True,0.7045,medium
LADEX,PAGED,Qwen,1st Round vs No Refinement,Recall,2000,0.7961,0.0075,0.4537,0.0000,0.3424,2.96968e-123,1.18787e-122,True,0.6822,medium
LADEX,PAGED,Qwen,1st Round vs No Refinement,F1,2000,0.7737,0.0102,0.4165,0.0000,0.3572,1.32813e-140,7.96876e-140,True,0.6986,medium
LADEX,PAGED,Qwen,2nd Round vs 1st Round,Precision,2000,0.8467,0.0064,0.7968,0.0144,0.0499,3.21834e-10,9.65501e-10,True,0.5408,negligible
LADEX,PAGED,Qwen,2nd Round vs 1st Round,Recall,2000,0.8144,0.0096,0.7961,0.0075,0.0183,0.0304412,0.0521848,False,0.5022,negligible
LADEX,PAGED,Qwen,2nd Round vs 1st Round,F1,2000,0.8093,0.0075,0.7737,0.0102,0.0356,5.7866e-06,1.38878e-05,True,0.5264,negligible
LADEX,PAGED,Qwen,3rd Round vs 2nd Round,Precision,2000,0.8696,0.0096,0.8467,0.0064,0.0229,0.00113634,0.00227268,True,0.5185,negligible
LADEX,PAGED,Qwen,3rd Round vs 2nd Round,Recall,2000,0.8084,0.0088,0.8144,0.0096,-0.0060,0.537843,0.645412,False,0.4879,negligible
LADEX,PAGED,Qwen,3rd Round vs 2nd Round,F1,2000,0.8157,0.0081,0.8093,0.0075,0.0064,0.531453,0.645412,False,0.4994,negligible
LADEX,PAGED,Qwen,4th Round vs 3rd Round,Precision,2000,0.8770,0.0116,0.8696,0.0096,0.0074,0.333388,0.500081,False,0.5070,negligible
LADEX,PAGED,Qwen,4th Round vs 3rd Round,Recall,2000,0.8050,0.0125,0.8084,0.0088,-0.0034,0.716891,0.782063,False,0.4940,negligible
LADEX,PAGED,Qwen,4th Round vs 3rd Round,F1,2000,0.8165,0.0129,0.8157,0.0081,0.0008,0.894285,0.894285,False,0.4973,negligible
